old_filename	new_filename
2-Aurélien-Géron-Hands-On-Machine-Learning-with-Scikit-Learn-Keras-and-Tensorflow_-Concepts-Tools-and-Techniques-to-Build-Intelligent-Systems-O’Reilly-Media-2019.pdf	hands-on-ml-2e.pdf
2011_Book_AlgorithmsUnplugged.pdf	algorithms-unplugged.pdf
2013_Book_ConciseGuideToDatabases.pdf	concise-guide-databases.pdf
2020_Book_ProAngular9.pdf	pro-angular-9.pdf
Advanced_Network_Programming-Principles_And_Techniques.pdf	advanced-network-programming.pdf
ai-machine-learning-coders-programmers.pdf	ml-for-coders.pdf
AlgorithmsNotesForProfessionals.pdf	algorithms-notes-professionals.pdf
Architecting-Modern-Web-Applications-with-ASP.NET-Core-and-Azure.pdf	architecting-modern-web-aspnet.pdf
Artificial Intelligence A Modern Approach, 3rd Edition.pdf	aima-3e.pdf
Artificial Intelligence By Example Acquire Advanced AI, Machine Learning and Deep Learning design skills.pdf	ai-by-example.pdf
ASP_NET-MVC-Interview-Questions-Answers-By-Shailendra-Chauhan.pdf	aspnet-mvc-interview-qa.pdf
Bayesian reasoning and machine learning ( PDFDrive.com ).pdf	bayesian-reasoning-ml.pdf
Building Microservices - Designing Fine-Grained Systems.pdf	building-microservices-1e.pdf
Building Microservices Designing Fine-Grained Systems 2nd By Sam Newman.pdf	building-microservices-2e.pdf
C 7 and .NET Core 2.0 Blueprints Build effective applications that meet modern software requirements by Dirk Strauss, Jas Rademeyer (z-lib.org).pdf	csharp7-netcore-blueprints.pdf
C# 5.0 in a Nutshell.pdf	csharp-5-nutshell.pdf
Clean Architecture.pdf	clean-architecture.pdf
Clean Code.pdf	clean-code.pdf
code-complete-2nd-edition-v413hav.pdf	code-complete-2e.pdf
CRACKING the CODING INTERVIEW.pdf	ctci.pdf
CSharpNotesForProfessionals.pdf	csharp-notes-professionals.pdf
Data Analysis For Network Cyber-Security.pdf	data-analysis-network-security.pdf
Data Communications and Networking By Behrouz A.Forouzan.pdf	forouzan-data-comm-networking.pdf
Designing Data Intensive Applications.pdf	ddia.pdf
Discrete Mathematical Structures (Fourth Edition).pdf	discrete-math-structures.pdf
DotNetBookZero11.pdf	dotnet-book-zero.pdf
elements-of-programming-interviews-adnan-aziz-in-java.pdf	epi-java.pdf
EntityFrameworkNotesForProfessionals.pdf	ef-notes-professionals.pdf
Fundamentals of Database Systems (6th Edition).pdf	fundamentals-database-systems-6e.pdf
Grokking System Design Interview.pdf	grokking-system-design.pdf
grokking-algorithms-illustrated-programmers-curious.pdf	grokking-algorithms.pdf
Hands-on-data-science.pdf	hands-on-data-science.pdf
Head First Design Patterns.pdf	head-first-design-patterns.pdf
Intoduction to Algorithms 3rd.pdf	clrs-3e.pdf
MachineLearningAlgorithmsSecondEdition_ColorImages.pdf	ml-algorithms-2e.pdf
Mastering Machine Learning Algorithms - Second Edition.epub	mastering-ml-algorithms-2e.epub
MicrosoftSQLServerNotesForProfessionals.pdf	mssql-notes-professionals.pdf
ng-book The Complete Guide on Angular 8.pdf	ng-book-angular8.pdf
ObjectOrientedProgramminginC4thEdition.pdf	oop-in-csharp-4e.pdf
OpenCV 4 with Python Blueprints Become proficient in computer vision by designing advanced projects using OpenCV 4 with Python 3.8.pdf	opencv4-python-blueprints.pdf
Patterns of Enterprise Application Architecture - Martin Fowler.pdf	poeaa.pdf
PostgreSQLNotesForProfessionals.pdf	postgres-notes-professionals.pdf
Progressive Web Apps with Angular.pdf	pwa-with-angular.pdf
PythonNotesForProfessionals.pdf	python-notes-professionals.pdf
Soft Skills The Software Developer's Life Manual.pdf	soft-skills-sonmez.pdf
Software Engineering at Google.pdf	swe-at-google.pdf
system-design-interview-an-insiders-guide.pdf	system-design-interview-xu.pdf
Systems Analysis and Design, 9th Edition (Shelly Cashman).pdf	systems-analysis-design-9e.pdf
TextBook_Introduction to Java Programming (10th ed.).pdf	intro-java-programming-10e.pdf
The Algorithm Design Manual (2nd ed.).pdf	algorithm-design-manual-2e.pdf
The Pragmatic Programmer.pdf	pragmatic-programmer.pdf
Valerio De Sanctis - ASP.NET Core 3 and Angular 9-Packt Publishing (2020).pdf	aspnet-core3-angular9.pdf
Working Effectively With Legacy Code.pdf	legacy-code.pdf
writing secure code 2nd edition.pdf	writing-secure-code-2e.pdf
